quality2	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	85	87	81	61	314
2	38	65	60	81	244
3	29	50	92	122	293
4	22	40	72	116	250
All	174	242	305	380	1101
