quality1	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	71	64	70	63	268
2	35	44	60	76	215
3	20	38	71	95	224
4	21	35	60	86	202
All	147	181	261	320	909
