quality6	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	19	18	21	4	62
2	17	31	28	31	107
3	4	19	26	31	80
4	1	9	17	15	42
All	41	77	92	81	291
