quality2	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	134	138	138	106	516
2	57	78	79	107	321
3	40	46	107	125	318
4	27	50	81	121	279
All	258	312	405	459	1434
