quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	2	4	1	3	10
2	5	5	12	6	28
3	3	3	9	19	34
4	1	6	9	18	34
All	11	18	31	46	106
