quality2	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	151	147	146	113	557
2	63	85	89	112	349
3	42	50	111	133	336
4	30	51	83	128	292
All	286	333	429	486	1534
