quality1	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	191	177	167	133	668
2	68	91	100	112	371
3	47	64	117	145	373
4	37	52	85	137	311
All	343	384	469	527	1723
