quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	98	110	89	51	348
2	37	77	106	66	286
3	14	37	90	145	286
4	0	17	54	189	260
All	149	241	339	451	1180
