quality5	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	27	35	24	26	112
2	33	48	44	67	192
3	18	33	51	67	169
4	13	29	39	36	117
All	91	145	158	196	590
