quality6	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	0	0	1	1	2
2	2	2	6	8	18
3	2	6	6	2	16
4	2	4	4	3	13
All	6	12	17	14	49
