quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	48	60	47	41	196
2	37	60	71	98	266
3	30	47	93	133	303
4	19	47	79	108	253
All	134	214	290	380	1018
