quality4	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	90	79	81	38	288
2	49	97	137	109	392
3	22	61	137	205	425
4	9	25	85	253	372
All	170	262	440	605	1477
