quality2	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	202	222	167	87	678
2	58	124	145	97	424
3	24	54	147	169	394
4	8	24	71	249	352
All	292	424	530	602	1848
