quality3	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	75	63	70	34	242
2	34	78	108	90	310
3	21	54	127	182	384
4	7	22	73	238	340
All	137	217	378	544	1276
