quality5	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	5	13	10	10	38
2	25	43	40	54	162
3	14	29	47	63	153
4	11	26	36	27	100
All	55	111	133	154	453
