quality1	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	97	96	100	89	382
2	46	63	72	92	273
3	36	51	94	122	303
4	30	43	78	117	268
All	209	253	344	420	1226
