quality3	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	163	142	129	68	502
2	53	107	141	102	403
3	25	61	141	198	425
4	7	25	82	255	369
All	248	335	493	623	1699
