quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	17	33	19	19	88
2	35	55	65	100	255
3	34	49	105	131	319
4	24	50	83	121	278
All	110	187	272	371	940
