quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	17	33	19	19	88
2	34	53	60	93	240
3	31	46	98	125	300
4	22	48	77	119	266
All	104	180	254	356	894
