quality2	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	75	82	94	58	309
2	36	66	77	66	245
3	10	29	87	133	259
4	4	15	49	176	244
All	125	192	307	433	1057
