quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	8	11	21	20	60
2	18	40	50	56	164
3	8	24	76	117	225
4	4	11	43	160	218
All	38	86	190	353	667
