quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	135	166	134	88	523
2	46	77	96	82	301
3	15	34	102	140	291
4	4	18	52	184	258
All	200	295	384	494	1373
