quality4	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	65	65	65	65	65
2	246	246	246	246	246
3	260	260	260	260	260
4	252	252	252	252	252
All	823	823	823	823	823
