quality1	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	9	16	6	21	52
2	21	34	44	51	150
3	21	25	62	78	186
4	16	32	47	85	180
All	67	107	159	235	568
