quality2	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	364	364	364	364	364
2	296	296	296	296	296
3	278	278	278	278	278
4	267	267	267	267	267
All	1205	1205	1205	1205	1205
