quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	127	155	113	68	463
2	28	37	46	26	137
3	7	10	26	23	66
4	0	7	9	24	40
All	162	209	194	141	706
