quality3	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	181	181	181	181	181
2	262	262	262	262	262
3	267	267	267	267	267
4	267	267	267	267	267
All	977	977	977	977	977
