quality1	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	627	627	627	627	627
2	358	358	358	358	358
3	312	312	312	312	312
4	285	285	285	285	285
All	1582	1582	1582	1582	1582
