quality5	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	25	25	25	25	25
2	150	150	150	150	150
3	131	131	131	131	131
4	83	83	83	83	83
All	389	389	389	389	389
