quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	4178.7637	2102.9158	3761.8989	1964.4984	2776.8455
2	8743.6953	10588.956	12431.833	11926.417	11486.408
3	14796.391	13659.273	13364.067	19843.709	16320.887
4	20204.887	19486.275	17316.578	24588.572	21258.283
All	13206.176	12886.206	13707.582	18700.328	15625.789
