quality2	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	972.68207	1217.9414	1766.5483	2209.4553	1505.3324
2	2111.4421	8562.1699	6342.6392	5562.0557	6369.5205
3	601.57465	4837.0708	6525.437	8574.6816	7227.9209
4	800	1596.441	11565.394	16421.479	14775.374
All	1143.8157	4276.252	6182.689	11139.211	7727.1279
