quality2	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	7.5253668	7.7616329	7.9809051	7.6010079	7.7373857
2	7.1130652	6.7773609	6.8757701	7.5666761	7.1326737
3	6.7469521	6.82096	7.4637022	6.9809475	7.097518
4	6.7007985	7.5047617	6.9504123	7.5196042	7.2843595
All	7.1876907	7.3279319	7.4090929	7.3989711	7.358285
