quality3	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	1401.6549	1571.734	1532.7802	1303.9495	1465.2228
2	1358.5305	1374.062	999.45398	1052.7599	1147.1318
3	968.14569	1022.1105	1063.9575	860.2088	961.67743
4	1019.8602	924.34521	777.22437	691.89508	779.89966
All	1236.3915	1280.5	1107.5204	918.98248	1087.9624
