quality6	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	16159.057	16415.891	19948.883	26156.34	19986.422
2	16411.656	13399.93	15582.962	18638.615	16713.256
3	10607.631	11952.784	13011.959	9220.2744	11372.674
4	8147.9648	9652.9756	10773.081	10461.513	10188.949
All	14103.204	12836.388	14732.18	16148.825	14624.463
