quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	1282.0453	195.94122	2034.2726	196.99313	779.64386
2	2703.8501	3725.2144	4680.1865	3007.4402	3584.8174
3	3955.5684	4069.6582	3352.0674	4517.3604	4010.1577
4	4855.9937	4998.5811	4523.627	2198.0811	3566.2314
All	3506.5005	3607.7954	3915.8826	3115.314	3482.3186
