quality2	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	863.79407	1103.1993	1321.1483	657.42542	1009.5726
2	3778.6162	3614.9326	7832.4277	8575.1846	6675.0688
3	8768.0752	5345.5967	6156.2349	3335.8125	5033.2764
4	8518.3262	6022.7144	7308.3027	2639.5383	5057.0557
All	5202.5347	3787.5818	5794.6362	3794.0601	4534.0146
