quality3	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	.36276603	.23110643	.23268732	.15494807	.2376651
2	.52664793	.71673799	.64418352	.49012178	.58876455
3	.77371359	.73049444	.68304342	.39604273	.57414222
4	.80555981	.72047514	.68736356	.35874677	.5523634
All	.66360033	.65282887	.62901139	.38867003	.53675139
