quality2	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	547.54913	1047.9757	929.57562	1087.5707	910.80176
2	3754.2751	6122.1772	7562.6494	4614.1157	6023.1055
3	4113.9116	4539.207	5375.3091	4987.1104	5029.4243
4	6340.6191	6056.9048	6500.5356	4239.5361	4800.2749
All	1929.9669	4024.7417	5098.7324	4285.6763	4306.3447
