quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	1473.999	2641.2451	2679.04	2095.0171	2311.9751
2	5127.2583	8915.2803	9508.4795	9059.3369	8816.5586
3	7369.979	5798.4941	10268.555	9472.5088	9213.5215
4	16104.141	10532.878	12568.01	16713.387	15517.34
All	3118.6252	5436.8369	8242.0771	11653.709	8623.5088
