quality4	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	612.64197	128.89464	1068.2799	435.40079	609.15533
2	2487.5974	3707.0366	4339.9668	2695.5188	3494.0637
3	1899.9832	4035.2666	4550.8711	3718.0735	3958.394
4	4051.6069	2545.8423	4553.5918	3139.9934	3415.238
All	1814.5155	3027.2869	4126.4795	3178.1863	3360.3279
