quality1	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	1085.5031	1281.3497	2499.4294	3291.2241	2136.6936
2	1710.8776	3523.2607	6524.0518	7814.9102	5922.9229
3	2911.3955	3256.8896	4981.7202	7947.4482	5862.5127
4	4812.187	5313.0713	7867.4731	21982.949	13433.105
All	2184.5789	3036.3818	5360.123	10984.767	6690.3477
