quality4	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	1584.3878	839.90912	599.55188	445.50781	855.31165
2	2681.2891	3234.6936	3224.8779	2680.1099	3004.1099
3	1700.9852	2643.0015	5586.9346	5215.9517	4868.0347
4	3127.9702	6803.9712	6560.6206	6467.5039	6441.1919
All	2133.5669	3168.8171	4586.7354	5188.7461	4530.6724
