quality2	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	9462.4561	11782.874	10475.595	10672.039	10686.126
2	7203.5444	7429.0449	7762.5933	6441.5303	7248.2036
3	7680.2632	7491.4307	6034.1572	5884.7617	6242.2939
4	3803.28	6907.1553	6385.5015	5266.4888	5571.4414
All	8708.002	9641.3398	7943.2681	6370.0259	7826.9741
