quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	1978.5596	1230.2948	3596.7625	1799.422	2081.7781
2	4721.6587	6906.7466	9028.2354	9988.498	8589.0371
3	5531.7305	7769.9731	8904.5479	15121.697	11117.203
4	6529.7759	10782.495	11606.685	19291.012	14626.595
All	5108.4858	7463.792	9398.7813	14677.371	10890.287
