quality1	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	92	94	89	69	344
2	47	59	69	64	239
3	28	36	65	89	218
4	18	36	57	82	193
All	185	225	280	304	994
