quality6	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	1	1	1	1	4
2	5	10	5	9	29
3	4	3	5	8	20
4	1	3	2	4	10
All	11	17	13	22	63
