quality6	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	1	1	2	1	5
2	5	12	5	9	31
3	4	4	5	9	22
4	1	3	2	4	10
All	11	20	14	23	68
