quality3	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	26	33	39	26	124
2	20	52	60	57	189
3	10	25	73	104	212
4	4	12	40	144	200
All	60	122	212	331	725
