quality6	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	0	0	4	1	5
2	7	9	5	11	32
3	1	2	13	11	27
4	1	5	7	6	19
All	9	16	29	29	83
