quality3	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	6	10	5	10	31
2	8	14	21	14	57
3	7	6	20	31	64
4	4	13	19	30	66
All	25	43	65	85	218
