quality4	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	0	0	1	1	2
2	1	6	4	7	18
3	0	2	8	19	29
4	1	2	9	18	30
All	2	10	22	45	79
