quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	85	115	92	65	357
2	31	59	76	67	233
3	13	30	86	118	247
4	3	16	42	163	224
All	132	220	296	413	1061
