quality6	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	1	2	2	1	6
2	6	13	5	9	33
3	4	4	8	9	25
4	2	4	2	5	13
All	13	23	17	24	77
