quality3	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	32	32	34	29	127
2	31	41	57	60	189
3	21	27	60	81	189
4	16	35	49	90	190
All	100	135	200	260	695
