quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	13	10	9	10	42
2	27	40	48	47	162
3	21	25	53	81	180
4	13	35	46	74	168
All	74	110	156	212	552
