quality3	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	24	23	27	24	98
2	30	38	48	47	163
3	19	28	58	74	179
4	17	33	48	80	178
All	90	122	181	225	618
