quality6	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	0	0	4	1	5
2	8	9	6	12	35
3	1	2	13	11	27
4	1	5	7	6	19
All	10	16	30	30	86
