quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	128	155	120	77	480
2	40	72	86	72	270
3	14	31	91	117	253
4	4	17	41	156	218
All	186	275	338	422	1221
