quality2	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	48	55	65	42	210
2	32	51	58	55	196
3	9	21	71	117	218
4	2	11	42	159	214
All	91	138	236	373	838
