quality3	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	11	21	23	17	72
2	16	36	48	53	153
3	8	19	60	89	176
4	3	9	36	143	191
All	38	85	167	302	592
