quality6	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	0	1	4	1	6
2	10	13	6	14	43
3	1	4	14	13	32
4	1	4	7	7	19
All	12	22	31	35	100
