quality2	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	58	55	40	42	195
2	37	49	61	56	203
3	20	28	62	80	190
4	16	29	55	82	182
All	131	161	218	260	770
