quality3	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	26	23	27	24	100
2	30	39	50	48	167
3	19	28	59	75	181
4	17	34	50	81	182
All	92	124	186	228	630
