quality1	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	92	92	88	68	340
2	44	54	55	58	211
3	26	33	63	87	209
4	18	33	54	80	185
All	180	212	260	293	945
